sentence,course,discipline,institution,contributor,stance,confidence,prob_disc,prob_cond,prob_enc,word_count
Plagiarism/Sourcing: Do not rephrase or paraphrase sources using AI without proper citation.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4968211054801941,0.47910175,0.4968211,0.024077121,12
AI cannot be used as a primary or secondary source.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.5816861987113953,0.38795483,0.5816862,0.030358989,10
"You may use AI to find sources, as discussed in “Initial Learning” above, but you cannot cite the AI itself, you must confirm and cite the source it came from.",AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.9091106653213501,0.069146454,0.90911067,0.0217429,30
Misrepresentation: Presenting AI-generated ideas or analysis as your own is considered academic dishonesty.,AGRI 1415 Horticulture,Agriculture,Austin Community College,Hunter Eichman,conditional,0.4916626214981079,0.4739196,0.49166262,0.03441782,13
"Use of GAI tools for academic work:  a caution
Please do not use Generative AI tools as a substitute for your own thinking, reflections, and voice.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.6716348528862,0.2870859,0.67163485,0.041279294,26
"If you are uncertain, that’s OK, and it’s fine for it to be reflected in your writing.",ANTH-6611: seminar in Applied Anthropology,Anthropology,"University of North Carolina, Charlotte",Donna Lanclos,conditional,0.5499604344367981,0.20968194,0.54996043,0.2403576,17
"Remember, AI is not likely to generate a response that would be seen as quality work and should be modified and improved.",ACM271 - Intro to Arts & Cultural Management,Arts,Michigan State University,"Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",conditional,0.5139380097389221,0.42729566,0.513938,0.0587663,22
"GAI can be a powerful learning tool, but like all tools, it has limitations and weaknesses that you should be aware of.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.523884654045105,0.2170957,0.52388465,0.2590196,22
GAI can fabricate seemingly credible data and generate wholly inaccurate content that is nonetheless highly persuasive.,BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.8174868822097778,0.096869566,0.8174869,0.08564354,16
"Therefore, it is imperative that you carefully read and verify GAI-generated content when incorporating it into your learning experience.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5228860974311829,0.07559091,0.5228861,0.40152302,19
"While GAI can be used to enhance your work, inappropriate and/or unethical use of GAI can negatively impact your education and professional development.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.5609089732170105,0.33178535,0.560909,0.10730568,23
"In case of new developments in AI ethics or technology during the semester, the instructor reserves the right to amend this policy to protect academic integrity and ethical standards.",BIOSC_3750 General Microbiology,Biology,University of Missouri,Caroline Grunenwald,conditional,0.45562171936035156,0.4141617,0.45562172,0.13021655,29
"AI may be used to help refine or enhance your work, but only after you have actively engaged with the material yourself.",BI1151 Elements of Microbiology,Biology,Fairfield University,Christine Rodriguez,conditional,0.8806072473526001,0.06265686,0.88060725,0.05673588,22
"* Research and Citation: When using AI to research topics, you must cite any information obtained from AI sources, just as you would with books, articles, or websites.",BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.8553591370582581,0.053834833,0.85535914,0.090806,28
Note: AI can sometimes produce factual errors.,BIOL110 Introduction to Biology,Biology,College of Marin,Wendy St. John,conditional,0.5079839825630188,0.39611652,0.507984,0.09589946,7
"Accuracy of Information and Verification: While AI tools are powerful, they are not infallible.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.7334253191947937,0.16667332,0.7334253,0.099901356,14
Students are expected to cross-verify the information obtained from AI tools with other reliable sources and cite these verifying sources in their work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5034093260765076,0.0392324,0.5034093,0.4573583,23
Limitations of Use: The use of AI tools for assignments should be limited to research and understanding of concepts.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.7705005407333374,0.16623278,0.77050054,0.06326672,19
"Instructor's Discretion: Instructors may restrict or specify the use of AI tools for their courses as they see fit, in accordance with the overarching University and College of Business policies.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.54503333568573,0.36079848,0.54503334,0.09416816,30
Students are responsible for understanding and complying with the privacy policies of the AI tools they use.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.4632101058959961,0.33188823,0.4632101,0.20490167,17
Always exercise caution and avoid sharing sensitive personal information with AI tools.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5024545788764954,0.31673408,0.5024546,0.18081135,12
•        Undisclosed use of AI tools in assignments may require academic review to ensure fair assessment of your work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5436789393424988,0.42418087,0.54367894,0.032140207,19
"•        Various methods may be used to verify adherence to this policy, including AI detection tools, as part of our regular assessment process.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.49304503202438354,0.30185306,0.49304503,0.20510195,23
Human oversight will be maintained in the assessment process.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.5086190700531006,0.27257288,0.50861907,0.21880805,9
"Only AI systems with zero data retention policies may be used for assessment purposes, ensuring the protection of student data and work.",Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.6865167021751404,0.26294968,0.6865167,0.050533626,22
Students retain their intellectual property rights to their original work.,Analytics and Information Management courses,Business,Western New England University,"David M DiSabito Jr, MBA",conditional,0.4161566197872162,0.17434025,0.41615662,0.40950313,10
"You hold the responsibility to assess the integrity and impartiality of your submissions, ensuring they remain unbiased.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.6988623738288879,0.15299903,0.6988624,0.1481386,17
"It is important to recognize that AI has inherent limitations, and human supervision is necessary to verify the quality and appropriateness of the output.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.8787736296653748,0.08821946,0.8787736,0.033006884,24
"Thus, exercising responsible AI usage requires human oversight and verification.",ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.632108211517334,0.20724557,0.6321082,0.16064623,10
This entails a careful review to confirm the accuracy and suitability of the AI-generated content before submission.,ChatGPT for Business (MBA590),Business,State University of New York - Oswego,Mohammad Tajvarpour,conditional,0.7863488793373108,0.170105,0.7863489,0.0435461,17
"Use of generative AI tools only with prior permission: 
Students are allowed to use Generative AI tools to gather information for internal analysis, external analysis, examples for strategies, definitions, functional strategy examples.",J401: Administrative Policy,Business,Indiana University,Aycan Kara,conditional,0.6396317481994629,0.22059192,0.63963175,0.13977629,32
"""The use of AI in this course is permitted, with disclosure.",MGT 6253 - Leadership & Executive Development,Business,George Washington University,John Frechette,conditional,0.5341278314590454,0.24747762,0.53412783,0.21839452,11
"I also rarely if ever use AI tools to evaluate an entire writing deliverable in one query – instead, I ask for grammar and conciseness improvements paragraph-by-paragraph, or even sentence-by-sentence.",MGT 6253 - Leadership & Executive Development,Business,George Washington University,John Frechette,conditional,0.5073354244232178,0.31660038,0.5073354,0.17606421,30
"From a research perspective – as with any data source or input, do not ever rely solely on the outputs of an AI model!",MGT 6253 - Leadership & Executive Development,Business,George Washington University,John Frechette,conditional,0.7592663764953613,0.19330719,0.7592664,0.047426436,24
"Check every data point and concept against other sources (e.g., academic papers, credible news articles).",MGT 6253 - Leadership & Executive Development,Business,George Washington University,John Frechette,conditional,0.7211246490478516,0.07616547,0.72112465,0.20270987,15
"AI Caution: Even when permitted, using AI can be risky.",COM 120 Interpersonal Communication,Communication,Wake Technical Community College,Kate C Jones,conditional,0.5941187143325806,0.27446932,0.5941187,0.13141198,10
"AI sometimes makes up information it cannot ﬁnd, for example, incorrect citations or page numbers.",COM 120 Interpersonal Communication,Communication,Wake Technical Community College,Kate C Jones,conditional,0.5315131545066833,0.30860975,0.53151315,0.15987709,15
"Get ideas for résumé bullets or cover letters based on sharing a job description– Use AI for a rough draft, but you must rewrite it to reflect your real experience.",COMM 303: Business and Professional Communication,Communications,Western Virginia University,April Wright,conditional,0.7662538886070251,0.18889019,0.7662539,0.04485592,30
"Draft LinkedIn summaries or job descriptions based on a prompt that tells the AI about you – Use AI to get started, but revise it to sound natural and personal.",COMM 303: Business and Professional Communication,Communications,Western Virginia University,April Wright,conditional,0.553375780582428,0.29174057,0.5533758,0.15488367,30
"Ask for feedback or edits – Let AI help with suggestions, but you make the final changes.
👍",COMM 303: Business and Professional Communication,Communications,Western Virginia University,April Wright,conditional,0.5028026103973389,0.3801409,0.5028026,0.11705652,18
"It’s okay to let AI help you think, but the final words should be your own.",COMM 303: Business and Professional Communication,Communications,Western Virginia University,April Wright,conditional,0.5742147564888,0.1097159,0.57421476,0.3160693,16
Always double-check sources and details.,COMM 303: Business and Professional Communication,Communications,Western Virginia University,April Wright,conditional,0.7128596305847168,0.12900493,0.71285963,0.15813544,5
"However, the work created by an LLM must never be used as a substitution for your own work, and they should never be part of your final, submitted essay - either on a test or a formal essay.",ENGL 1102: Composition 2,Composition,Georgia State University,Jennifer Duncan,conditional,0.5837233662605286,0.39487022,0.58372337,0.021406425,38
"2. LLMs may be used as a tool to aid in the writing process, not as a replacement for critical thinking and original writing.",ENGL 1102: Composition 2,Composition,Georgia State University,Jennifer Duncan,conditional,0.7587283253669739,0.1461162,0.7587283,0.095155545,24
"You must always be able to articulate and defend your ideas presented in their assignments, regardless of whether they used an LLM.",ENGL 1102: Composition 2,Composition,Georgia State University,Jennifer Duncan,conditional,0.5589541792869568,0.26045907,0.5589542,0.18058676,22
"While AI may be permitted at times, other forms of plagiarism, such as copying and pasting from unattributed sources, are strictly prohibited and will result in academic penalties.",ENGL 1102: Composition 2,Composition,Georgia State University,Jennifer Duncan,conditional,0.6122552156448364,0.3635845,0.6122552,0.024160244,28
"AI can produce hallucinations, fake documentation, and ""borrow"" undocumented materials from sources without proper documentation.",ENGL 1102: Composition 2,Composition,Georgia State University,Jennifer Duncan,conditional,0.523735761642456,0.39049083,0.52373576,0.08577338,15
AI is vulnerable to discrimination because it can inadvertently (or intentionally) perpetuate existing biases present in the data it is trained on.,CIS 130 - Productivity Software,Computer Information Systems,Pierce College,Brian Lee,conditional,0.47165369987487793,0.1191083,0.4716537,0.409238,22
"Lack of diversity in the training data: If the training data does not include a diverse range of examples, the AI system may not perform well on diverse inputs, which may lead to discrimination.",CIS 130 - Productivity Software,Computer Information Systems,Pierce College,Brian Lee,conditional,0.6269041299819946,0.22089873,0.62690413,0.15219717,34
"Lack of transparency: Some AI systems can be difficult to understand and interpret, making it challenging to detect and correct for biases.",CIS 130 - Productivity Software,Computer Information Systems,Pierce College,Brian Lee,conditional,0.3790172338485718,0.29928908,0.37901723,0.32169366,22
"Your very human judgement needs to curate, edit and iterate with the data you get from an AI system.",CIS 130 - Productivity Software,Computer Information Systems,Pierce College,Brian Lee,conditional,0.43292707204818726,0.20259053,0.43292707,0.36448234,19
"A cookie cutter answer directly from an AI system may look great, comprehensive, and well written, but AI answers are based on crowdsourced logic.",CIS 130 - Productivity Software,Computer Information Systems,Pierce College,Brian Lee,conditional,0.8348485231399536,0.094411775,0.8348485,0.07073968,24
"Students shall
Give credit to AI tools whenever used, even if only to generate ideas rather than usable text or illustrations.",Computing & Data Sciences,Computer Science,Boston University,More Details,conditional,0.6625463962554932,0.311,0.6625464,0.026453612,21
"Use a lower baseline for students who declare use of AI tools, depending on how extensive the usage, while rewarding creativity, critical nuance, and the correction of inaccuracies or superficial interpretations in response to suggestions made by AI tools.",Computing & Data Sciences,Computer Science,Boston University,More Details,conditional,0.6339051127433777,0.31304216,0.6339051,0.053052716,39
Some instructors may prefer stronger restrictions on the use of AI tools and they are free to impose them so long as care is taken to maintain transparency and fairness in grading.,Computing & Data Sciences,Computer Science,Boston University,More Details,conditional,0.41639626026153564,0.24604996,0.41639626,0.33755377,32
"In these cases, it might be trivial to get the correct answer from GenAI, but I believe that true intellectual growth is possible only if you work through the difficult problem and discover the answer for yourself, and not from just reading a pre-generated answer.",COSC 426: Natural Langauge Processing,Computer Science,Colgate University,Grusha Prasad,conditional,0.6740228533744812,0.08070803,0.67402285,0.24526912,45
Assignments that are in large part quoted from an AI assistant are very unlikely to be evaluated positively.,CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",conditional,0.6830695271492004,0.2641789,0.6830695,0.05275159,18
"In addition, if a student's work is substantially identical to another student's work, that will be grounds for an investigation of plagiarism regardless of whether the prose was produced by an AI assistant.",CS 601.471/671 NLP: Self-supervised Models  ,Computer Sciences,Johns Hopkins University,"Daniel Khashabi
More information here.",conditional,0.4930739402770996,0.42619717,0.49307394,0.08072887,33
"It is your job to ensure all AI information used is accurate, properly sourced and cited, reliable, and valid.",Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",conditional,0.7220503687858582,0.14559235,0.72205037,0.13235731,19
Treat AI outputs like information from an unknown source – verify facts using credible academic or professional sources.,Criminal Justice Policy; Police & Society,Criminal Justice,"California State University, Fullerton","Christie Gardiner
",conditional,0.9046488404273987,0.07687661,0.90464884,0.01847453,18
Assume the output is incorrect unless you check the claims with reliable sources.,Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,conditional,0.7422034740447998,0.21905248,0.7422035,0.03874404,13
Bias: Their output may reflect bias because the data they are trained on may reflect bias or may not include sufficient data from certain groups.,Judaism; Jewish Language in the 21st Century,Cultural Studies,University of Southern California (and Hebrew Union College),Sarah Bunin Benor,conditional,0.804280161857605,0.16287374,0.80428016,0.032846075,25
You should be able to use generative AIs but only to use to help with finding sources or to correct spelling and grammar for an assignment.,Cyber Security Policy and Law,Cybersecurity,Rochester Institute of Technology,Amrit Sinha,conditional,0.6301108002662659,0.328731,0.6301108,0.041158155,26
"When using generative AI, please make sure to:
Validate the accuracy of any AI-generated content with at least one reliable reference, because generative AI can produce questionable and biased results, including misinformation and “hallucinations”.",Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,conditional,0.8461155891418457,0.13309404,0.8461156,0.020790376,34
Include any limitations of and/or concerns about content you have curated from generative AI.,Cybersecurity,Cybersecurity,The University of Texas at San Antonio,Rita Mitra,conditional,0.5338939428329468,0.42187396,0.53389394,0.044232115,14
"AI may be used for research purposes, but not for text generation.",ECO 2013,Economics,Miami Dade College,Francisco Larios,conditional,0.7292370200157166,0.12682448,0.729237,0.14393853,12
"However, mere reliance on AI without the ability to critically analyze, write, and discern high-quality work will not suffice for long-term success in the workplace.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.710502564907074,0.123414434,0.71050256,0.16608307,25
"Disclosure of AI Usage: Any use of AI tools in the completion of assignments, projects, or other coursework must be explicitly disclosed.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.47321704030036926,0.4434487,0.47321704,0.083334275,22
"Manual Transcription of AI-Generated Text: To ensure that students engage with and critically evaluate AI-generated content, any text generated by AI tools must be manually typed into the final document by the student.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.7001445293426514,0.25447816,0.7001445,0.04537729,33
"We regard false representation of our scholarly work as unacceptable because it undermines our integrity and that of the community."""" Evaluation of student work will consider not only proper use and acknowledgment of AI tools, but also demonstration of critical thinking, originality, and ability to produce high-quality academic work independently of AI assistance.",ECON 225 Economic Development and Growth,Economics,Kalamazoo College,Patrik Hultberg,conditional,0.5208333134651184,0.40617973,0.5208333,0.07298693,53
"If any part of this is confusing or uncertain, please reach out to me for a conversation before submitting your work.",Digital Interventions - AI & Education ,Education,College Unbound,"Lance Eaton
@leaton01 (Twitter)
LinkedIn
 
CU’s Institutional Strategy for AI Generative Tools",conditional,0.4826642572879791,0.382707,0.48266426,0.1346288,21
"AI tools are powerful aids in academic work, but they have limitations that must be understood to use effectively and responsibly.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.6771438121795654,0.09334271,0.6771438,0.22951353,21
AI lacks human judgment and relies heavily on input data and may inadvertently perpetuate biases.,INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.8122850060462952,0.091198795,0.812285,0.096516214,15
"While AI can assist, it cannot replicate the nuanced guidance of a human instructor and cannot be used as a replacement for personal effort and critical thinking.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.7995202541351318,0.1411155,0.79952025,0.0593643,27
"Students should consider AI a tool for enhancement and refinement, but the essence of the work must come from their intellectual effort.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.47976958751678467,0.06659766,0.4797696,0.4536327,22
"All sources, including AI tools, must be properly cited within the text and included in the bibliography.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.7980744242668152,0.12195856,0.7980744,0.07996709,17
"Authenticity: Students should use AI tools to augment their understanding and generate ideas, while ensuring that the final work reflects their own analysis, synthesis, and originality.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.7616783976554871,0.049492404,0.7616784,0.18882914,26
"c)        Critical Evaluation: Students must critically evaluate the output of AI tools, considering potential biases and limitations, and corroborate information obtained from AI tools with other credible sources.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.9453790187835693,0.03656272,0.945379,0.018058315,28
Direct quotes or paraphrased content generated by AI tools should be treated as any other source and attributed correctly.,INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.8734809756278992,0.09257173,0.873481,0.033947337,19
Text directly copied from AI sites must be treated as any other direct quote and properly cited.,INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.565207839012146,0.31015512,0.56520784,0.12463699,17
"However, students must review and incorporate these suggestions to align with their voices and maintain their original work's integrity.",INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.8744352459907532,0.10883121,0.87443525,0.016733551,19
It is essential that students critically evaluate and corroborate the information obtained from AI tools before incorporating it into their assignments while also providing appropriate citations.,INSTRUCTIONAL METHODS FOR THE MIDDLE AND HIGH SCHOOL ,Education,Warner Pacific University,"ANDREW TORRIS, ED.D.",conditional,0.5329740643501282,0.039186,0.53297406,0.4278399,26
"Embracing the AI tool full on will help you to quickly generate text, but the quality of the output may end up being incorrect or of poor quality.",E155: Microprocessor-based Systems,Electrical Engineering,Harvey Mudd College,Josh Brake,conditional,0.551224410533905,0.3821128,0.5512244,0.06666275,28
"Using AI for phrasing or structure is acceptable, but the core ideas must be original.",BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.7805708646774292,0.18902472,0.78057086,0.03040436,15
"Ethical AI Usage: When using AI for topics related to healthcare and biomedical engineering, ensure the data and methods you employ adhere to privacy laws and ethical considerations.",BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.5545380115509033,0.24727911,0.554538,0.19818288,28
"2. Data Integrity: When using AI for data generation or simulation, clearly state the limitations and potential biases of the model in your report.",BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.6608685851097107,0.24461807,0.6608686,0.09451332,24
4. Quality Control: Ensure that information generated by AI is factually accurate and scientifically valid.,BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.754247784614563,0.13151586,0.7542478,0.11423632,15
"5. Consultation and Approval: For substantial use of AI in a project or paper, obtain approval from the instructor to ensure it aligns with course objectives and ethics.",BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.7986090183258057,0.16291429,0.798609,0.038476765,28
"In case of new developments in AI ethics or technology during the semester, the instructor reserves the right to amend this policy to protect academic integrity and ethical standards.",BIOM 1720 Intro to Biomedical Engineering Tools,Engineering,University of Memphis,Stephen Strain,conditional,0.4556221663951874,0.41416132,0.45562217,0.13021651,29
• Clearly state that the image(s)/video(s) were generated using AI with the platform referenced.,Innovation Design Engineering ,Engineering,Imperial / RCA ,Elena Dieckmann,conditional,0.391451895236969,0.33549887,0.3914519,0.27304924,14
"• Please be aware that any text uploaded on the platforms will feed into training data, hence it may account for a publication of your work.",Innovation Design Engineering ,Engineering,Imperial / RCA ,Elena Dieckmann,conditional,0.5921594500541687,0.32616538,0.59215945,0.081675194,26
Students should acknowledge the use of generative AI (other than incidental use) and default to disclosing such assistance when in doubt.,ESRM 462: Coastal and Marine Management,Enviromental Science,California State University Channel Islands,Sean Anderson,conditional,0.6173855066299438,0.33503887,0.6173855,0.047575656,21
"Additionally, AI models are limited by the material on which they are trained.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.7000887989997864,0.11488704,0.7000888,0.18502413,13
"In this course, you may not use AI to summarize course material or in preparing your analyses, reflections, or ideas responding to that material.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.6031371355056763,0.3209689,0.60313714,0.07589395,24
"Because writing and presenting are important skills that support critical engagement and help you develop your ideas, you may not rely on AI to generate written drafts or prepare your final presentation materials.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.5451430678367615,0.18121141,0.54514307,0.2736455,33
"In all cases, you are responsible for critically evaluating responses generated by AI for accuracy.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.47988805174827576,0.156675,0.47988805,0.363437,15
"In the academic context, AI often returns incorrect information, including citing sources that do not exist.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.7404345273971558,0.16091524,0.7404345,0.09865023,16
"Moreover, AI cannot understand complex nuances, and it may suggest edits that change the intended meaning of your work.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.5268819332122803,0.3797584,0.52688193,0.09335974,19
"Finally, if you rely on AI in preparing written materials, you should cite it as you would any other source.",Ocean Justice,Enviromental Science,Duke University,Emily Melvin,conditional,0.8563098311424255,0.04924933,0.85630983,0.09444087,20
Students must understand that passing off AI-generated content as their own without proper citation is considered plagiarism and will be subject to academic penalties.,Finance 101 - Money and Banking,Finance,Santa Barbara Community College,Michael Novotny,conditional,0.5185611248016357,0.44812596,0.5185611,0.033312935,24
"Citation and Ethical Incorporation of AI Content:

When AI-generated content is allowed, students must cite it appropriately, clearly indicating which parts of their submission are AI-assisted.",Finance 101 - Money and Banking,Finance,Santa Barbara Community College,Michael Novotny,conditional,0.5499849915504456,0.36083227,0.549985,0.08918267,26
This approach is essential for maintaining a balance between the use of technological assistance and the student's original analysis and insights.,Finance 101 - Money and Banking,Finance,Santa Barbara Community College,Michael Novotny,conditional,0.5202260613441467,0.04712717,0.52022606,0.4326468,21
Misrepresentation: Presenting AI-generated ideas or analysis as your own is considered academic dishonesty.,Financial Accounting,Finance,Fresno City College,"Monique Kelley

TikTok @LearnAccountingToday
",conditional,0.491662859916687,0.47391933,0.49166286,0.03441778,13
"Limitations of AI & Your Responsibilities
It is important to recognize that AI has inherent limitations, and responsible AI usage requires human oversight and verification.",Financial Accounting (ACC 010),Finance,West Valley College,Teresa Thompson,conditional,0.5393929481506348,0.3293749,0.53939295,0.13123214,25
Please take into consideration when using generative AI tools: they are typically trained on datasets that may be outdated and can include copyrighted material.,COLA 1500 - College Advising Seminar,First Year Seminar,University of Virginia,Jelena Samonina,conditional,0.5412323474884033,0.41284803,0.54123235,0.04591962,24
"Furthermore, generative AI tools aim to simulate human-like content creation rather than ensuring accuracy or reliability.",COLA 1500 - College Advising Seminar,First Year Seminar,University of Virginia,Jelena Samonina,conditional,0.7186288833618164,0.14706366,0.7186289,0.13430743,16
"Therefore, it remains your responsibility, not the tool's, to ensure the quality, integrity, and accuracy of any work submitted for this course.",COLA 1500 - College Advising Seminar,First Year Seminar,University of Virginia,Jelena Samonina,conditional,0.6300219893455505,0.31171927,0.630022,0.0582587,22
"Importantly, this does not mean you are free to use AI whenever you wish, or that you can use it if you don’t think it will be harmful.",First Year Seminar on Sexual Ethics,First Year Seminar,Wake Forest University,Betsy Barre,conditional,0.4983763098716736,0.42095035,0.4983763,0.080673285,28
This means you may not use AI summaries or explanations as a replacement for doing the actual reading.,First Year Seminar on Sexual Ethics,First Year Seminar,Wake Forest University,Betsy Barre,conditional,0.5361989736557007,0.30434427,0.536199,0.15945679,18
"AI may be a useful pre- or post-reading aid, but understanding the substance of the text is not the same as understanding how to read that text.",First Year Seminar on Sexual Ethics,First Year Seminar,Wake Forest University,Betsy Barre,conditional,0.8367137908935547,0.07249485,0.8367138,0.090791404,27
